station_id,station_name,neighborhood,crime_count
62,2nd at Folsom,Rincon Hill,8312
54,Embarcadero at Bryant,Rincon Hill,8312
49,Spear at Folsom,Rincon Hill,8312
69,San Francisco Caltrain 2 (330 Townsend),Mission Bay,10433
70,San Francisco Caltrain (Townsend at 4th),Mission Bay,10433
64,2nd at South Park,South Beach,11897
61,2nd at Townsend,South Beach,11897
42,Davis at Jackson,Northern Waterfront,12713
82,Broadway St at Battery St,Northern Waterfront,12713
48,Embarcadero at Vallejo,Northern Waterfront,12713
60,Embarcadero at Sansome,Northern Waterfront,12713
65,Townsend at 7th,Showplace Square,12796
46,Washington at Kearney,Chinatown,19960
73,Grant Avenue at Columbus Avenue,North Beach,31062
74,Steuart at Market,Financial District,35905
41,Clay at Battery,Financial District,35905
51,Embarcadero at Folsom,Financial District,35905
50,Harry Bridges Plaza (Ferry Building),Financial District,35905
56,Beale at Market,Financial District,35905
75,Mechanics Plaza (Market at Battery),Financial District,35905
45,Commercial at Montgomery,Financial District,35905
77,Market at Sansome,Financial District,35905
59,Golden Gate at Polk,Civic Center,57782
58,San Francisco City Hall,Civic Center,57782
39,Powell Street BART,Downtown / Union Square,77558
91,Cyril Magnin St at Ellis St,Downtown / Union Square,77558
71,Powell at Post (Union Square),Downtown / Union Square,77558
47,Post at Kearney,Downtown / Union Square,77558
76,Market at 4th,South of Market,287692
90,5th St at Folsom St,South of Market,287692
72,Civic Center BART (7th at Market),South of Market,287692
57,5th at Howard,South of Market,287692
68,Yerba Buena Center of the Arts (3rd @ Howard),South of Market,287692
63,Howard at 2nd,South of Market,287692
67,Market at 10th,South of Market,287692
66,South Van Ness at Market,South of Market,287692
55,Temporary Transbay Terminal (Howard at Beale),South of Market,287692